num_stage,stage_time,dis_fraction,dist_to_water,truck_consumption,water_per_stage,prop_per_stage,dist_to_sand,dist_to_fuel,mob_distance,sand_footprint
31,108,0.9522811759900038,8,24,276172,44,108,84,110,0.46177621395773766
63,161,0.6481516705373987,2,23,329604,38,172,109,230,0.395098414827083
103,200,0.0474817317977676,41,20,134739,54,84,99,295,0.06837724995783234
60,156,0.4313883973914522,77,16,914864,33,162,61,319,0.35131061061439667
120,182,0.4560361826607877,110,22,138787,16,198,156,182,0.008477410969426558
137,139,0.07121259528654189,193,21,315341,63,52,113,171,0.06876264573150426
131,103,0.5825788790294653,186,22,407022,58,44,70,66,0.4599649523550289
39,186,0.7255066492426755,153,11,585946,26,136,153,482,0.029987076794587897
130,100,0.9354676621624982,32,21,921922,65,39,129,266,0.17199289943466983
31,118,0.10057853393019112,176,16,825302,69,47,46,108,0.4880303278526653
73,85,0.46742052727534344,12,22,863971,42,80,192,409,0.048645605617770316
149,183,0.85617112210285,109,14,628542,56,94,7,499,0.04992368888935644
134,158,0.4526182421977669,78,24,218993,39,24,140,479,0.3234448677287003
36,148,0.202848038872098,182,10,109204,46,188,48,265,0.4447676478985677
36,155,0.5280264510559699,141,10,531233,41,0,59,317,0.05268761674509065
92,96,0.2073313579121585,172,20,555960,26,109,24,463,0.12263055352598073
149,98,0.001977121039285823,61,21,762450,68,169,25,130,0.22284987116147842
132,214,0.49031964720207166,41,13,738901,81,142,18,390,0.11782079767304188
54,174,0.9191538401021575,20,19,765907,12,117,139,441,0.33068631042283425
76,219,0.07855216523668218,144,24,546033,37,10,123,314,0.4851048114415702
71,64,0.9915967503876295,141,10,901265,44,87,70,27,0.027688666262982997
149,151,0.8480424052812009,140,24,869886,22,129,158,159,0.24737514598843574
95,173,0.7127573653689498,137,20,883765,30,169,59,26,0.4603256017286086
77,105,0.8371073415856932,62,11,708756,44,22,159,50,0.3141701208392775
49,111,0.45956828933995764,50,20,158540,49,11,33,183,0.38098211681334554
51,188,0.14371932100168405,145,18,986059,15,177,32,283,0.4925983010992739
139,121,0.6902615042171178,39,11,514360,70,173,125,334,0.028899092333712295
60,91,0.39800179914137757,152,12,739977,51,3,84,257,0.004104386368795621
72,134,0.6210554446221871,58,23,829322,96,120,14,106,0.10182055011130042
70,230,0.029079279628438592,141,23,110648,87,178,76,182,0.35288286404323616
40,190,0.08958458468656083,8,24,258559,35,191,18,203,0.4382522763770474
142,169,0.8738276597418724,69,18,730483,17,120,167,483,0.32598391548803374
144,87,0.7451703638443057,141,11,635686,55,79,159,266,0.49770019735669524
115,170,0.2063813624436983,70,18,716006,67,159,144,61,0.18489400853674454
144,96,0.20976253094322872,169,10,214141,46,195,164,245,0.47622433975577455
51,163,0.7503509833755403,3,15,932645,66,23,188,95,0.008656463794786795
58,141,0.19541824858358225,188,20,659692,58,162,25,141,0.2671564763775107
60,83,0.8412965667962053,120,23,770753,98,115,161,306,0.3838733403422024
142,102,0.6163790219206725,39,19,980360,67,125,118,272,0.035946926637343
51,204,0.21114554571865385,68,15,557274,57,152,81,285,0.16739632915097868
122,180,0.05743957928226673,63,23,492517,35,11,177,191,0.44983122284553057
106,202,0.9957434245278045,36,16,669956,15,50,14,416,0.09066988288158084
143,155,0.2042492347200956,21,23,639195,48,67,174,301,0.04013161744079097
63,201,0.22886640191211793,96,11,546947,49,7,131,91,0.19345441986972273
100,167,0.1292440286160641,20,14,883362,40,59,145,68,0.32513766214435197
112,64,0.7806272484734912,143,14,855033,58,135,17,229,0.39914925028396125
79,128,0.5739476157868388,136,16,827117,68,79,6,294,0.26785481265522304
103,147,0.9598712586444789,135,14,637207,37,151,84,327,0.21426428840683603
51,156,0.7401173437612331,178,23,303882,15,21,91,385,0.43859050431159763
49,178,0.6090743679685275,149,21,605328,67,175,3,318,0.3352169972178886
34,85,0.8374253899496215,78,21,482278,66,116,91,321,0.2856533896839231
100,148,0.05187055254964634,33,19,159885,69,101,195,359,0.24649841521873872
86,145,0.5648964460886895,56,12,294520,56,189,109,289,0.31750509646501335
132,191,0.41978025373181715,103,14,837474,39,52,19,104,0.20548101374812577
88,117,0.05273257964454037,178,14,390140,19,68,114,330,0.13060479649486378
33,143,0.4509891187200735,154,21,379051,30,118,65,415,0.25040336578575184
45,140,0.5175346810259978,67,18,287699,33,193,32,205,0.3112295731709717
107,123,0.0514868498864387,126,15,286749,23,112,142,379,0.018793405741275082
126,184,0.010111691247883359,98,11,805439,52,151,80,359,0.2187401646060158
77,199,0.8904191159573631,156,11,265466,48,181,192,147,0.17823116435877845
116,236,0.46610094703472804,189,12,458632,91,26,40,168,0.3004584144809197
31,138,0.1645059913409086,11,13,934008,80,120,148,427,0.04582662416414718
139,199,0.2307256937255826,92,15,410536,24,66,43,41,0.44102911496078195
130,204,0.651839309671456,65,11,168737,10,49,67,369,0.001194001836597236
141,62,0.07544641995989088,179,20,752979,62,70,14,84,0.32643710126698283
42,198,0.7074539737586506,149,21,385909,38,3,140,250,0.2847824750981979
101,217,0.30497991383911305,47,20,269355,64,182,153,304,0.41915397355236983
70,237,0.46422676060790957,159,24,794098,68,9,2,106,0.15632573185035215
71,121,0.39467644406769264,124,21,978902,85,3,95,86,0.36202551874877403
133,129,0.8580414221701139,160,14,198844,73,7,139,461,0.31752472578607727
133,134,0.3737962269109376,54,21,119257,31,12,194,296,0.23007232303959385
96,130,0.4985457163684748,50,18,351176,43,51,178,451,0.4967609550540865
82,143,0.5268062370711748,73,10,466428,32,50,128,271,0.4053057310945664
34,238,0.5786432097772495,185,18,968485,29,49,162,346,0.4158380689057498
57,231,0.4473655262837142,126,13,175553,51,133,131,350,0.34467035915514393
68,171,0.5284772767768534,32,20,606682,98,164,134,189,0.227780189259554
40,87,0.5200082567819173,128,13,502177,77,36,175,454,0.25280501817871087
87,227,0.5488368569166551,137,11,269941,22,39,77,357,0.038846481458847726
72,228,0.1526980958639994,67,13,159681,78,96,185,19,0.3944021785159854
78,189,0.9910121529263762,186,20,955864,32,163,91,426,0.2485842124340864
37,117,0.6159098299434556,85,22,576834,79,71,43,217,0.33820458887005705
146,184,0.5929364855119869,114,10,555626,18,6,147,407,0.2524777600909818
127,208,0.04992575864244919,152,24,805957,40,105,120,51,0.18307472518356155
111,90,0.15483849874243716,47,20,951887,80,126,185,323,0.4390030630958181
127,239,0.27732033612267515,26,18,381214,39,180,144,254,0.08121519853976383
43,98,0.9411681013935574,139,19,274295,75,58,76,79,0.43186369828194376
95,190,0.36703619419969613,15,21,737362,64,30,95,471,0.05865114671823063
52,182,0.7876141100386563,17,19,763580,95,39,106,441,0.30588985583742967
64,167,0.4753901981432821,186,18,513338,19,183,176,427,0.36668400497786147
53,213,0.014477676600345157,155,15,640491,27,118,129,305,0.07930790536289123
100,157,0.7514902129495219,69,10,181387,22,146,7,260,0.29019769695650227
82,200,0.4552811818981871,159,19,153436,29,160,106,20,0.3460735166454167
93,195,0.3892332216788703,89,22,822231,83,189,187,142,0.4219862695980336
118,216,0.201495340748734,134,13,668712,91,164,168,413,0.25848193101751726
104,62,0.13539733439615076,76,14,885602,35,106,136,488,0.1316958883161659
127,183,0.13262277636058994,154,20,905093,25,36,127,73,0.014051822405542591
66,237,0.13414400615308197,10,22,648260,43,183,27,234,0.02471956956381005
37,223,0.6447398114628128,119,15,404705,18,39,81,49,0.49121888632135663
130,106,0.8594369515806917,102,20,297881,98,153,197,2,0.486907589533764
149,235,0.9898814189163715,43,18,309831,55,156,188,147,0.46470627409904963
93,236,0.5941454518143414,198,14,911202,28,133,69,468,0.45979390617389854
66,128,0.8228407183072518,49,16,317043,17,55,128,305,0.15647818645941425
118,138,0.2983405338977402,131,16,698974,43,144,49,489,0.020526040891098885
116,205,0.20866423908326814,86,21,360804,39,106,156,89,0.07685174252610433
96,222,0.5327705144049938,134,15,861657,65,15,91,121,0.2248922046496829
45,181,0.5063837200991321,137,14,803603,12,14,152,356,0.2901406023809909
86,117,0.126028550340737,135,10,488268,14,72,173,86,0.18452903065460302
69,106,0.11655341690791299,18,12,518236,67,155,133,380,0.2790784983912614
44,75,0.7446642778370092,180,15,679132,46,192,194,400,0.2671390093357903
70,92,0.47537564054976267,49,24,317400,68,38,125,139,0.27336691119170736
42,195,0.2073179299133484,79,13,726261,58,52,96,453,0.15442969372562027
50,225,0.11742939650815609,146,17,195731,35,83,79,411,0.05971618449569499
53,116,0.16536181523905824,57,16,732577,89,117,63,346,0.4855485170033276
126,221,0.49103955804491684,154,11,869654,98,44,66,81,0.18540035249590253
66,152,0.6359021535110008,113,10,874754,42,177,57,416,0.1737742459992654
35,199,0.8746367112884761,116,12,937154,21,32,24,121,0.16390036727446855
49,163,0.43610921202595954,29,21,696078,61,123,73,274,0.46957523196607215
76,232,0.10027133303414959,51,14,842970,95,70,68,8,0.16770091364936324
120,211,0.25899876528292776,36,16,516320,14,91,43,203,0.4908189462062095
36,135,0.3997447035803159,94,13,455551,44,181,141,195,0.10128393507864808
50,67,0.9176169470989866,37,23,354626,30,6,21,126,0.34205489625464613
80,219,0.7650482775250665,35,22,343713,39,189,10,424,0.25912032537293705
109,79,0.7071565923919367,197,23,717393,55,196,33,215,0.09122707339185493
79,234,0.03967713570112952,32,11,489202,48,179,152,270,0.011062872953930214
58,121,0.6436711804898468,189,19,111565,32,70,126,270,0.39154840554353565
98,110,0.8050180226724469,55,19,312552,15,10,92,363,0.37178361548338273
88,194,0.5534005880304017,144,12,510253,33,74,103,290,0.011592754943654304
65,152,0.43007055280275697,170,13,248846,15,135,5,393,0.3190396260704828
93,102,0.8512693846816238,140,19,773147,75,132,24,112,0.2959031287177083
85,221,0.5128812007451768,192,16,382485,58,71,68,336,0.3689606651875141
31,202,0.19021456424262084,68,13,347983,63,42,153,84,0.19637022835827272
144,232,0.6963872683238803,2,17,949428,35,76,27,169,0.1375524179020014
140,226,0.11946573478368683,125,19,347643,22,106,77,261,0.3628415500791803
40,218,0.8486772201667898,9,18,398074,60,55,13,263,0.2596135203198274
54,234,0.36656196166591337,150,13,291288,50,26,116,420,0.48426128377572136
139,207,0.6583892397904983,195,11,223711,38,117,170,85,0.2649474308243677
127,212,0.7812704393331321,169,16,555868,51,166,123,220,0.34542305511887056
115,236,0.07648031401735911,125,19,780897,48,137,148,268,0.38584900740617034
76,137,0.6191842788104757,5,16,235020,40,0,113,349,0.04476117740250063
92,210,0.06115573182176537,141,13,570738,81,76,186,427,0.2780360166345134
35,77,0.6905714045754835,151,13,766354,88,30,176,254,0.4700589326204385
43,155,0.5772557891493343,133,10,485767,57,29,46,288,0.4763772903751334
141,238,0.2975212545676654,61,12,793298,29,162,17,444,0.46360528678815344
110,120,0.7505966299270228,54,20,411200,26,156,23,484,0.04171736381291907
101,156,0.9915596969815348,165,19,568427,48,40,191,120,0.17512893965679083
116,149,0.956052389142869,125,15,321965,50,118,108,56,0.4644935089392538
64,75,0.0048977479511082,62,19,859350,64,97,27,219,0.40413286805928744
61,188,0.34745201058446107,144,17,145719,93,178,177,321,0.04516913080923218
66,150,0.6644553512520309,1,20,338864,31,34,149,491,0.0208084316114876
128,66,0.6779878897217166,151,10,342895,34,56,194,364,0.4257429076128932
36,172,0.36970599350220534,149,14,424270,48,47,76,330,0.03562940292228062
47,143,0.8035495477664157,118,23,121785,24,77,177,324,0.39482014791155834
137,194,0.11451711538414955,150,21,590701,45,60,173,416,0.28785614929430303
61,183,0.33728614084346953,36,14,547537,56,155,177,73,0.3512339522384954
73,99,0.9813825390492157,134,19,311901,59,43,68,156,0.1235348656510531
145,238,0.33807629428685815,193,19,705006,45,197,66,182,0.3881209313187976
112,173,0.11244144910097598,60,11,139516,43,162,123,242,0.06836169261746461
62,92,0.6273288323658845,130,14,438029,49,39,141,269,0.005154092941026367
128,92,0.7694430004968644,190,12,242725,99,93,181,174,0.025048632440527685
34,174,0.9130368705363181,136,14,217065,45,73,128,235,0.41872683053628246
116,87,0.2933214976793086,182,19,414546,39,188,165,480,0.08070937586239796
128,147,0.7026027469407554,76,10,139815,49,11,27,248,0.3557388852694204
107,91,0.3706325695900503,57,15,473239,99,179,77,5,0.4662125209375485
